,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,MonitoringLocationIdentifier,ProjectIdentifier,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,PrecisionValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName,LeadValue,LeadValue_ug_l,MonitoringLocationName,MonitoringLocationTypeName,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode,Month,geometry
0,USGS-CT,USGS Connecticut Water Science Center,nwisma.01.01800241,Sample-Routine,Water,2018-01-02,USGS-01127000,,40,Multiple verticals,Lead,0.214,ug/l,Preliminary,Actual,,PLM43,USGS,"Metals, wf, ICP-MS",,,,NWIS,0.214,0.214,"QUINEBAUG RIVER AT JEWETT CITY, CT",Stream,41.5974917,-71.9840944,9.0,11.0,1,POINT (-71.9840944 41.5974917)
1,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606127-MET-SW,Sample-Routine,Water,2018-01-02,21IOWA_WQX-10580003,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.08,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.08,0.08,Iowa River near Wapello,River/Stream,41.180331,-91.182147,19.0,115.0,1,POINT (-91.182147 41.180331)
2,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606126-MET-SW,Sample-Routine,Water,2018-01-02,21IOWA_WQX-10700001,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.1,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.1,0.1,Cedar River near Conesville,River/Stream,41.409359,-91.290171,19.0,139.0,1,POINT (-91.290171 41.409359)
3,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606128-MET-SW,Sample-Routine,Water,2018-01-02,21IOWA_WQX-10580002,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.05,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.05,0.05,Iowa River near Lone Tree,River/Stream,41.423865,-91.47909,19.0,103.0,1,POINT (-91.47909 41.423865)
4,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606124-MET-SW,Sample-Routine,Water,2018-01-02,21IOWA_WQX-10560002,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.09,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.09,0.09,Skunk River near Augusta,River/Stream,40.7534,-91.27559000000001,19.0,111.0,1,POINT (-91.27559000000001 40.7534)
5,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606166-MET-SW,Sample-Routine,Water,2018-01-02,21IOWA_WQX-10270001,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.07,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.07,0.07,Thompson Fork - Grand River at Davis City,River/Stream,40.640671000000005,-93.80787,19.0,53.0,1,POINT (-93.80786999999999 40.640671)
6,BTMUA,Brick Utilities,BTMUA-NA_180102s,Sample-Routine,Water,2018-01-02,BTMUA-NA,Watershed,See QA Plan,See Project QA Plan,Lead,0.560,ug/l,Final,Actual,,See QA Plan,BTMUA,See QA Plan for this Project,,,,STORET,0.56,0.56,Route 88 West,River/Stream,40.081648,-74.151811,34.0,29.0,1,POINT (-74.151811 40.081648)
7,ARDEQH2O_WQX,Arkansas Department of Environmental Quality,ARDEQH2O_WQX-2018-0003,Sample-Routine,Water,2018-01-02,ARDEQH2O_WQX-ARK0162C,1,1,GRAB SAMPLE,Lead,1.17,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,,,,STORET,1.17,1.17,White Oak Bayou at Maumelle Boulevard,River/Stream,34.81933,-92.36469,5.0,119.0,1,POINT (-92.36469 34.81933)
8,BTMUA,Brick Utilities,BTMUA-SA_180102s,Sample-Routine,Water,2018-01-02,BTMUA-SA,Watershed,See QA Plan,See Project QA Plan,Lead,1.460,ug/l,Final,Actual,,See QA Plan,BTMUA,See QA Plan for this Project,,,,STORET,1.46,1.46,Chambersbridge Road,River/Stream,40.078763,-74.156729,34.0,29.0,1,POINT (-74.156729 40.078763)
9,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606170-MET-SW,Sample-Routine,Water,2018-01-02,21IOWA_WQX-10630003,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.12,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.12,0.12,Whitebreast Creek near Dallas,River/Stream,41.246687,-93.290114,19.0,125.0,1,POINT (-93.290114 41.246687)
